RAPORT: 50
86 29 22
131 52 39
198 79 78
244 101 130
350 152 231
462 212 357
639 295 492
920 441 713
1262 603 1125
1738 874 1732
2431 1282 2609
3418 1842 3821
4809 2646 5615
6745 3737 8239
9639 5365 12229
13765 7710 17833
19562 11029 26232
28324 15820 38578
40825 23183 56470
58652 33929 82937
84413 49218 121140
RAPORT: 49
85 24 25
133 39 44
205 56 87
270 84 161
362 116 234
511 176 359
653 274 530
906 407 766
1214 624 1160
1658 931 1758
2360 1347 2612
3336 1968 3891
4668 2878 5859
6610 4038 8684
9476 5814 13099
13517 8375 19300
19324 12087 28429
27851 17563 41702
40145 25427 60962
58219 36526 88782
84389 52682 129003
RAPORT: 48
96 16 30
146 28 51
205 44 87
237 74 118
339 139 193
469 225 276
605 326 433
834 470 692
1108 735 1025
1559 1057 1583
2189 1490 2357
3080 2038 3507
4353 2876 5208
6218 3998 7899
8898 5745 11782
12654 8095 17565
18122 11758 25939
26112 16998 38094
37483 24266 56035
54118 34802 81617
78508 50920 118154
RAPORT: 47
98 17 21
150 28 40
180 53 80
209 79 124
279 118 175
379 178 228
503 234 380
694 332 576
998 433 908
1447 612 1339
1994 904 2034
2754 1335 3004
3851 1978 4393
5417 2813 6503
7780 4121 9673
11205 5899 14516
15844 8657 21513
22690 12399 31542
32840 18121 46170
47267 26604 67082
68167 38611 98105
RAPORT: 46
89 22 25
119 32 45
128 38 45
54 15 24
22 6 11
0 1 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
RAPORT: 45
90 26 19
122 38 33
121 39 35
58 18 21
25 7 9
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
RAPORT: 44
87 17 34
127 30 59
170 47 94
190 79 129
280 100 206
395 137 293
525 191 432
735 298 673
1010 471 1051
1399 677 1561
1963 945 2245
2781 1357 3371
4027 1994 4885
5643 2863 7066
8034 4170 10322
11402 6037 15291
16282 8825 22405
23227 12809 32674
33467 18654 48121
48190 26994 70419
69726 39300 102755
RAPORT: 43
97 18 21
145 42 42
215 73 58
262 130 106
375 163 178
510 214 288
673 319 474
913 451 737
1321 647 1079
1796 945 1595
2526 1381 2466
3565 1958 3714
5096 2856 5510
